date,country,clicks,impressions,ctr,position
2026-07-13,mex,0,2,0,6
2026-07-13,mys,0,4,0,55
2026-07-13,nga,0,1,0,6
2026-07-13,nld,0,3,0,9.666666666666666
2026-07-13,nzl,0,1,0,72
2026-07-13,pak,0,5,0,52.4
2026-07-13,phl,0,6,0,66.66666666666667
2026-07-13,pol,0,2,0,34
2026-07-13,prt,0,1,0,46
2026-07-13,reu,0,1,0,10
2026-07-13,rou,0,1,0,72
2026-07-13,rus,0,1,0,30
2026-07-13,sau,0,3,0,22
2026-07-13,slv,0,1,0,26
2026-07-13,vir,0,1,0,6
2026-07-13,vnm,0,7,0,43
2026-07-13,zaf,0,1,0,7
2026-07-14,are,0,2,0,10
2026-07-14,arg,0,1,0,11
2026-07-14,arm,0,1,0,7
2026-07-14,bel,0,2,0,9
2026-07-14,bgd,0,9,0,21.11111111111111
2026-07-14,bhr,0,1,0,70
2026-07-14,bra,0,5,0,14.4
2026-07-14,can,0,7,0,24.857142857142858
2026-07-14,che,0,2,0,38
2026-07-14,col,0,2,0,11
2026-07-14,cuw,0,1,0,42
2026-07-14,deu,0,3,0,27.666666666666668
2026-07-14,dza,0,3,0,22.666666666666668
2026-07-14,egy,0,5,0,26.4
2026-07-14,esp,0,2,0,10.5
2026-07-14,fin,0,1,0,11
2026-07-14,geo,0,1,0,11
2026-07-14,hkg,0,2,0,61.5
2026-07-14,idn,0,4,0,33
2026-07-14,ind,0,2,0,43
2026-07-14,irl,0,1,0,73
2026-07-14,irn,0,1,0,8
2026-07-14,irq,0,1,0,8
2026-07-14,isr,0,3,0,33.666666666666664
2026-07-14,ita,0,3,0,32
2026-07-14,jpn,0,1,0,9
2026-07-14,mar,0,6,0,24.833333333333332
2026-07-14,mex,0,4,0,32.75
2026-07-14,nam,0,1,0,11
2026-07-14,nga,0,1,0,8
2026-07-14,nld,0,4,0,34
2026-07-14,pak,0,3,0,48
2026-07-14,phl,0,14,0,44.92857142857143
2026-07-14,pol,0,2,0,9
2026-07-14,prt,0,1,0,31
2026-07-14,reu,0,1,0,9
2026-07-14,rus,0,1,0,5
2026-07-14,sau,0,2,0,37
2026-07-14,sgp,0,1,0,6
2026-07-14,swe,0,1,0,3
2026-07-14,tha,0,1,0,58
2026-07-14,tur,0,3,0,27.666666666666668
2026-07-14,ukr,0,2,0,8.5
2026-07-14,ury,0,1,0,9
2026-07-14,usa,0,90,0,24.644444444444446
2026-07-14,vnm,0,7,0,31.428571428571427
2026-07-14,zaf,0,1,0,10
2026-07-15,are,0,1,0,69
2026-07-15,aus,0,5,0,26.8
2026-07-15,aze,0,1,0,10
2026-07-15,bel,0,1,0,6
2026-07-15,bgd,0,2,0,26.5
2026-07-15,bgr,0,1,0,6
2026-07-15,bra,0,1,0,39
2026-07-15,can,0,11,0,27.09090909090909
2026-07-15,chn,0,2,0,6.5
2026-07-15,cze,0,1,0,7
2026-07-15,deu,0,3,0,6
2026-07-15,dza,0,2,0,29
2026-07-15,egy,0,4,0,48
2026-07-15,fin,0,2,0,37.5
2026-07-15,gbr,0,14,0,40.214285714285715
2026-07-15,idn,0,7,0,37.57142857142857
2026-07-15,ind,0,3,0,77
2026-07-15,irn,0,1,0,6
2026-07-15,ita,0,2,0,16.5
2026-07-15,jpn,0,3,0,22
2026-07-15,khm,0,1,0,10
2026-07-15,kwt,0,1,0,11
2026-07-15,mar,0,4,0,41.25
2026-07-15,mex,0,2,0,41.5
2026-07-15,mys,0,7,0,50.714285714285715
2026-07-15,nld,0,2,0,14.5
2026-07-15,nor,0,1,0,44
2026-07-15,nzl,0,2,0,10
2026-07-15,pak,0,3,0,34.333333333333336
2026-07-15,prt,0,1,0,29
2026-07-15,qat,0,1,0,7
2026-07-15,reu,0,1,0,10
2026-07-15,rou,0,2,0,39.5
2026-07-15,sau,0,8,0,57.5
2026-07-15,sgp,0,4,0,6.5
2026-07-15,tha,0,2,0,8.5
2026-07-15,tto,0,1,0,9
2026-07-15,tur,0,1,0,25
2026-07-15,uga,0,1,0,8
2026-07-15,ven,0,1,0,9
2026-07-15,vnm,0,5,0,44.4
2026-07-16,ago,0,1,0,44
2026-07-16,are,0,2,0,45.5
2026-07-16,aus,0,6,0,28.333333333333332
2026-07-16,bgd,0,1,0,11
2026-07-16,bhs,0,1,0,16
2026-07-16,blr,0,1,0,2
2026-07-16,bra,0,3,0,31.666666666666668
2026-07-16,che,0,1,0,32
2026-07-16,deu,0,7,0,9
2026-07-16,egy,0,2,0,38
2026-07-16,esp,0,1,0,26
2026-07-16,fin,0,1,0,15
2026-07-16,gbr,0,15,0,28.333333333333332
2026-07-16,gum,0,1,0,9
2026-07-16,idn,0,12,0,59.833333333333336
2026-07-16,ind,0,7,0,66.14285714285714
2026-07-16,isr,0,1,0,74
2026-07-16,ita,0,2,0,59.5
2026-07-16,jor,0,1,0,44
2026-07-16,kaz,0,1,0,9
2026-07-16,kor,0,1,0,60
2026-07-16,ltu,0,1,0,5
2026-07-16,mex,0,1,0,9
2026-07-16,mmr,0,1,0,10
2026-07-16,mne,0,1,0,5
2026-07-16,mng,0,1,0,8
2026-07-16,mys,0,1,0,47
2026-07-16,nga,0,2,0,10
2026-07-16,nld,0,1,0,10
2026-07-16,nor,0,1,0,7
2026-07-16,pak,0,1,0,8
2026-07-16,phl,0,5,0,9.6
2026-07-16,rus,0,4,0,8.5
2026-07-16,sau,0,3,0,66.33333333333333
2026-07-16,sgp,0,2,0,67.5
2026-07-16,srb,0,1,0,7
2026-07-16,ukr,0,1,0,3
2026-07-16,vnm,0,6,0,31.333333333333332
2026-07-16,xkk,0,1,0,7
2026-07-16,zaf,0,4,0,73.75
2026-07-17,are,0,1,0,7
2026-07-17,aus,0,3,0,36.666666666666664
2026-07-17,aut,0,1,0,7
2026-07-17,bel,0,1,0,10
2026-07-17,bgd,0,1,0,75
2026-07-17,bra,0,1,0,9
2026-07-17,can,0,11,0,35.18181818181818
2026-07-17,cze,0,2,0,28.5
2026-07-17,deu,0,3,0,9
2026-07-17,dnk,0,1,0,7
2026-07-17,eth,0,2,0,9.5
2026-07-17,fin,0,1,0,9
2026-07-17,gbr,0,8,0,9.75
2026-07-17,hrv,0,1,0,83
2026-07-17,idn,0,1,0,11
2026-07-17,ind,0,2,0,72
2026-07-17,irn,0,1,0,7
2026-07-17,ken,0,1,0,9
2026-07-17,mar,0,1,0,10
2026-07-17,nld,0,4,0,21.25
2026-07-17,nor,0,2,0,11
2026-07-17,phl,0,5,0,32
2026-07-17,reu,0,1,0,5
2026-07-17,swe,0,1,0,10
2026-07-17,tha,0,1,0,5
2026-07-17,tun,0,1,0,10
2026-07-17,usa,0,43,0,18.093023255813954
2026-07-17,vnm,0,11,0,40.27272727272727
2026-07-17,zaf,0,1,0,8
2026-07-17,zmb,0,1,0,6
